pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
357.37,358.69,384.72,212.96,246.98,239,209.15,211.94,382.435992,455.129951
357.34,358.56,386.07,213.2,248.52,239.18,210.92,211.93,381.373226,455.095685
357.32,358.27,387.67,213.31,250.13,239.42,212.87,211.92,381.119861,455.095685
357.32,358.22,389.21,213.57,251.76,239.59,214.62,211.85,380.993178,455.095685
357.32,358,391.01,213.99,253.31,239.86,216.51,211.72,380.486448,455.095685
357.33,357.9,392.74,214.12,255,239.85,218.24,211.71,380.486448,455.095685
357.33,357.82,394.25,214.27,256.63,239.99,220.08,211.56,379.979718,455.095685
357.35,357.74,395.86,214.64,258.13,240.02,221.98,211.28,379.979718,454.989584
357.38,357.54,397.12,215.05,259.72,240.2,223.81,211.18,379.979718,454.989584
357.4,357.35,398.58,215.38,261.33,240.21,225.71,210.99,379.979718,454.56518
357.52,357.13,400.42,216.02,262.99,240.31,227.67,210.83,379.726353,454.56518
357.82,356.95,402.06,216.43,264.63,240.31,229.56,210.65,379.09294,454.989584
357.89,356.81,403.9,216.86,266.27,240.34,231.13,210.28,378.839575,454.56518
357.94,356.67,405.64,217.1,267.92,240.41,233.18,210.07,379.428378,453.935117
358.01,356.49,407.02,217.5,269.53,240.42,235.11,209.87,378.92,453.76
358.05,356.12,408.55,218.02,270.96,240.43,237.05,209.59,378.66,453.59
358.06,355.96,410.44,218.7,272.41,240.43,238.98,209.19,378.06,453.4
358.24,355.88,412.07,219.04,274.07,240.44,240.93,208.98,377.94,453.3
358.24,355.63,413.75,219.41,275.64,240.42,242.86,208.7,377.78,453.18
358.22,355.19,415.12,220.03,277.11,240.37,244.83,208.23,377.62,453.04
358.481085,355.255375,416.85,220.83,278.67,240.35,246.77,207.98,377.04,452.87
358.481085,355.159963,418.52,221.58,280.1,240.34,248.77,207.81,376.94,452.72
358.765574,355.06455,419.88,222.05,281.82,240.14,250.55,207.33,376.83,452.54
NaN,NaN,421.23,222.88,283.3,240.09,252.41,206.97,376.71,452.12
NaN,NaN,423.1,223.68,284.87,239.98,254.25,206.48,376.58,451.98
NaN,NaN,424.76,224.32,286.32,239.95,256.16,206.06,376.04,451.83
NaN,NaN,426.1,225.11,287.87,239.79,258.11,205.58,375.93,451.66
NaN,NaN,427.86,226.01,289.31,239.54,260.04,205.07,375.87,451.26
NaN,NaN,429.44,226.82,290.89,239.36,262.02,204.72,375.81,451.09
NaN,NaN,430.92,227.67,292.35,239.11,263.94,204.08,375.78,451.03
NaN,NaN,432.34,228.62,293.89,238.99,265.9,203.42,375.65,450.82
NaN,NaN,433.99,229.65,295.34,238.74,267.92,203,375.58,450.66
NaN,NaN,435.74,230.64,296.71,238.6,269.94,202.54,375.05,450.25
360.045774,353.824188,437.04,231.65,298.14,238.19,271.85,201.89,375,450.1
359.832407,353.824188,438.42,232.65,299.69,238,273.79,201.22,374.95,449.9
360.045774,353.410734,440.04,233.67,301.01,237.77,275.83,200.64,374.92,449.85
360.401385,352.870063,441.68,234.86,302.4,237.34,277.81,199.98,374.86,449.76
360.401385,352.870063,443.04,235.85,303.9,236.99,279.82,199.31,374.79,449.68
360.330263,352.520217,444.32,236.99,305.12,236.75,281.87,198.84,374.77,449.63
360.828118,352.265784,445.91,238.1,306.5,236.26,283.89,198.03,374.74,449.57
360.828118,352.265784,447.12,239.2,308.02,236.08,285.9,197.29,374.72,449.52
361.396386,352.104092,448.54,240.39,309.55,235.68,287.9,196.67,374.7,449.18
361.396386,352.056385,450,241.88,310.83,235.13,289.94,195.85,374.66,449.15
361.42,352.01,451.28,243,312.28,234.92,292.06,195.08,374.64,449.12
361.36,351.9,452.73,244.28,313.57,234.48,294.19,194.41,374.62,449.11
361.4,351.85,454.06,245.71,315.08,233.95,296.29,193.83,374.61,449.09
361.56,351.77,455.24,246.95,316.5,233.4,298.44,193.06,374.58,449.07
361.98,351.62,456.49,248.3,317.93,233.01,300.86,192.29,374.49,449.04
361.97,351.44,457.91,249.74,319.29,232.59,302.88,191.59,374.03,449.01
362.25,351.43,459.14,250.95,320.74,232.05,305.02,190.84,374.01,449.02
362.31,351.42,460.32,252.31,322.12,231.6,307.1,190.08,374,449.01
362.57,351.41,461.62,253.95,323.39,231.08,309.34,189.33,373.96,449.01
362.94,351.38,462.79,255.35,324.9,230.63,311.72,188.65,373.91,449.01
363.07,351.43,463.92,256.75,326.34,229.96,313.94,187.9,373.88,449
363.14,351.48,464.99,258.14,327.83,229.43,316.04,187.07,373.84,449
363.25,351.72,466.08,259.69,329.27,228.84,318.28,186.31,373.8,448.99
363.25,351.74,467.18,260.95,330.65,228.21,320.54,185.64,373.73,449.03
363.31,351.92,468.28,262.25,332.06,227.72,322.82,184.9,373.66,449.1
363.37,352.09,469.31,263.85,333.46,227.05,324.97,184.11,373.58,449.18
363.44,352.38,470.3,265.22,334.97,226.34,327.24,183.31,373.52,449.22
363.63,352.87,471.32,266.64,336.39,225.79,329.51,182.6,373,449.27
363.63,353.11,472.33,268.03,337.92,225.13,331.94,181.81,372.92,449.39
363.63,353.4,473.35,269.38,339.28,224.34,334.18,181.14,372.88,449.5
363.62,353.86,474.16,270.81,340.93,223.73,336.42,180.31,372.75,449.88
363.56,354.07,475.13,272.12,342.4,223.04,338.85,179.68,372.76,449.91
363.59,354.4,476.08,273.57,344,222.51,341.15,178.98,372.66,450.05
363.63,354.89,477,274.97,345.78,221.78,343.36,178.17,372.61,450.21
363.63,355.18,477.86,276.24,347.28,221.12,345.75,177.52,372.52,450.31
363.65,355.68,478.72,277.77,348.97,220.38,348.11,176.88,371.97,450.42
363.66,355.97,479.45,278.97,350.65,219.63,350.43,176.19,371.91,450.79
363.67,356.28,480.05,280.25,352.1,219.04,352.83,175.65,371.85,450.89
363.73,356.77,480.95,281.71,353.83,218.33,355.08,175.01,371.77,450.93
363.77,357.08,481.76,283.07,355.57,217.74,357.45,174.19,371.75,451.1
363.86,357.42,482.45,284.25,357.09,216.93,359.95,173.57,371.64,451.25
363.96,357.9,483.07,285.47,358.88,216.34,362.29,173.03,371.51,451.42
364.02,358.23,483.78,286.87,360.63,215.68,364.79,172.26,370.97,451.83
364.09,358.74,484.27,288.06,362.23,214.84,367.12,171.91,370.9,451.95
364.18,359.08,484.9,289.25,363.93,214.11,369.49,171.28,370.82,452.06
364.29,359.47,485.72,290.46,365.67,213.32,372.09,170.73,370.71,452.22
364.42,359.93,486.08,291.77,367.31,212.69,374.67,170.07,370.62,452.36
364.64,360.25,486.89,292.95,369.06,211.88,377.04,169.49,370.5,452.79
364.75,360.76,487.57,294.06,370.86,211.15,379.38,169.02,369.95,452.93
364.85,361.08,487.98,295.14,372.64,210.46,381.93,168.59,369.37,453.06
