pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
916.690000,354.110000,828.730000,242.980000,722.630000,310.020000,676.840000,316.330000
916.470000,354.100000,828.920000,242.810000,723.735850,312.171174,678.760000,319.020000
916.090000,354.050000,829.050000,242.640000,725.160000,313.850000,680.510000,321.560000
915.910000,354.000000,829.320000,242.140000,727.130000,315.540000,682.380000,324.090000
915.730000,353.920000,829.840000,241.940000,729.170000,317.000000,684.180000,326.090000
915.520000,353.830000,830.060000,241.780000,731.050000,318.650000,686.180000,328.450000
915.200000,353.810000,830.320000,241.430000,732.990000,320.020000,688.190000,330.710000
915.030000,353.750000,830.950000,240.960000,734.980000,321.250000,690.190000,332.790000
914.890000,353.710000,831.110000,240.790000,736.890000,322.930000,692.210000,334.810000
914.740000,353.590000,831.310000,240.580000,738.850000,324.370000,694.280000,336.800000
914.570000,353.290000,831.950000,239.990000,740.800000,325.740000,696.280000,338.820000
914.230000,353.170000,832.260000,239.510000,742.830000,326.900000,698.400000,340.670000
914.090000,353.050000,832.900000,239.210000,744.740000,328.020000,700.520000,342.540000
914.040000,352.940000,833.040000,239.030000,746.780000,329.140000,702.850000,344.380000
914.000000,352.820000,833.330000,238.840000,748.780000,330.270000,704.890000,346.100000
913.960000,352.770000,833.960000,238.650000,750.710000,331.300000,707.100000,347.550000
913.730000,352.460000,834.490000,238.110000,752.850000,332.340000,709.290000,349.370000
913.630000,352.130000,834.900000,237.960000,754.850000,333.380000,711.520000,350.890000
913.600000,351.980000,835.250000,237.630000,756.840000,334.400000,713.860000,352.450000
913.450000,351.920000,835.920000,237.140000,758.870000,335.300000,716.060000,353.920000
913.280000,351.720000,836.490000,236.790000,760.880000,336.270000,718.290000,355.410000
913.280000,351.480000,836.920000,236.320000,762.860000,337.150000,720.710000,356.590000
913.290000,351.110000,837.330000,236.140000,764.900000,338.080000,722.920000,357.910000
913.280000,350.990000,837.930000,235.920000,766.920000,338.970000,725.220000,359.160000
913.280000,350.870000,838.470000,235.610000,768.910000,339.820000,727.730000,360.540000
913.280000,350.660000,839.090000,235.090000,770.960000,340.480000,730.250000,361.870000
913.290000,350.260000,839.720000,234.800000,773.000000,340.950000,732.580000,362.860000
913.310000,350.110000,840.180000,234.270000,775.080000,341.250000,734.730000,363.710000
913.340000,349.980000,840.930000,233.880000,777.130000,342.010000,736.960000,364.610000
913.340000,349.780000,841.770000,233.210000,779.170000,342.660000,739.540000,365.680000
913.480000,349.550000,842.270000,233.030000,781.170000,342.970000,742.010000,366.640000
913.810000,349.130000,842.910000,232.680000,783.140000,343.130000,744.140000,367.310000
913.910000,348.930000,843.770000,232.210000,785.230000,343.340000,746.620000,368.110000
913.920000,348.800000,844.420000,231.820000,787.300000,343.990000,748.990000,368.870000
914.040000,348.690000,845.020000,231.120000,789.370000,344.640000,751.330000,369.630000
914.140000,348.410000,845.780000,230.610000,791.350000,344.780000,753.820000,370.310000
914.240000,348.030000,846.600000,230.240000,793.400000,344.850000,756.180000,371.030000
914.460000,347.890000,847.150000,229.920000,795.530000,344.890000,758.660000,371.560000
914.830000,347.680000,847.980000,229.450000,798.130000,344.960000,760.900000,372.050000
914.970000,347.280000,848.840000,228.910000,800.800000,344.950000,763.200000,372.380000
915.100000,347.080000,849.740000,228.180000,802.840000,344.950000,765.480000,372.880000
915.240000,346.900000,850.520000,227.670000,804.850000,344.970000,767.900000,373.100000
915.460000,346.880000,851.130000,227.230000,806.840000,344.990000,770.180000,373.360000
915.720000,346.690000,851.940000,226.760000,808.840000,344.960000,772.370000,373.580000
915.860000,346.420000,852.990000,226.130000,810.860000,344.970000,774.780000,373.750000
916.060000,346.070000,853.760000,225.850000,812.850000,344.890000,776.970000,373.810000
916.240000,345.890000,854.820000,225.110000,814.910000,344.880000,779.130000,373.910000
916.430000,345.760000,855.820000,224.380000,816.697215,344.736129,781.190000,373.860000
916.840000,345.590000,856.780000,223.890000,818.980000,344.900000,783.350000,373.780000
917.020000,345.250000,857.630000,223.280000,820.860000,344.680000,785.330000,373.760000
917.170000,345.070000,858.650000,222.860000,822.810000,344.410000,787.330000,373.760000
917.330000,344.910000,859.680000,222.110000,824.810000,343.900000,789.330000,373.420000
917.530000,344.780000,860.730000,221.360000,826.860000,343.080000,791.320000,373.170000
917.860000,344.640000,861.810000,220.990000,828.910000,342.390000,793.270000,372.920000
918.050000,344.380000,862.840000,220.500000,830.700000,342.050000,795.130000,372.600000
918.240000,344.030000,863.870000,219.840000,832.250000,341.880000,797.090000,372.190000
918.370000,343.910000,865.110000,219.200000,833.670000,341.680000,798.870000,371.810000
918.710000,343.770000,866.170000,218.680000,834.940000,341.070000,800.570000,371.440000
918.850000,343.610000,867.420000,218.000000,836.050000,340.890000,802.090000,371.030000
919.030000,343.280000,868.840000,217.120000,837.210000,340.630000,803.710000,370.600000
919.160000,343.110000,870.000000,216.590000,838.680000,339.910000,805.220000,370.090000
919.300000,342.930000,871.290000,216.130000,840.320000,339.080000,806.780000,369.520000
919.440000,342.810000,872.690000,215.540000,842.140000,338.140000,808.180000,369.050000
919.810000,342.620000,874.050000,214.840000,843.980000,337.230000,809.680000,368.350000
919.960000,342.240000,875.550000,214.240000,845.870000,336.230000,811.010000,367.760000
920.080000,342.110000,877.050000,213.860000,847.690000,335.170000,812.310000,367.060000
920.200000,341.990000,878.670000,213.070000,849.330000,334.150000,813.690000,366.560000
920.420000,341.860000,880.170000,212.320000,850.690000,333.150000,814.820000,365.910000
920.800000,341.820000,881.850000,211.980000,851.890000,332.280000,815.940000,365.210000
920.900000,341.620000,883.270000,211.600000,852.800000,331.290000,816.960000,364.480000
920.990000,341.230000,885.060000,210.960000,853.860000,330.460000,817.970000,363.760000
921.080000,341.110000,886.910000,210.290000,854.330000,330.130000,818.960000,363.020000
921.190000,341.000000,888.680000,210.030000,854.550000,330.090000,819.730000,362.230000
921.400000,340.860000,890.340000,209.510000,854.610000,329.970000,820.330000,361.470000
921.770000,340.820000,892.190000,209.060000,854.820000,329.710000,820.980000,360.720000
921.980000,340.630000,894.040000,208.840000,855.040000,328.930000,821.480000,359.760000
922.170000,340.290000,895.930000,208.470000,855.320000,328.180000,822.060000,358.870000
922.170000,340.140000,897.930000,208.060000,856.140000,327.240000,822.370000,357.900000
922.300000,340.040000,899.930000,207.660000,857.100000,326.240000,822.580000,357.060000
922.430000,339.940000,902.030000,207.190000,857.990000,325.310000,822.790000,355.910000
922.780000,339.820000,904.070000,206.960000,858.840000,324.300000,822.930000,354.670000
922.960000,339.640000,906.030000,206.760000,859.590000,323.220000,822.940000,353.720000
923.090000,339.270000,907.910000,206.810000,859.870000,322.490000,822.910000,352.570000
923.210000,339.160000,909.770000,206.670000,859.770000,322.140000,822.720000,351.110000
923.330000,339.130000,911.930000,206.580000,859.710000,321.800000,822.460000,349.680000
923.420000,339.130000,914.090000,206.200000,859.800000,320.970000,822.100000,348.320000
923.770000,339.090000,916.180000,206.200000,859.930000,320.130000,821.890000,346.900000
923.870000,339.020000,918.350000,206.280000,860.030000,319.230000,821.600000,345.190000
923.990000,339.000000,920.510000,206.270000,860.110000,318.340000,821.090000,343.350000
924.150000,338.910000,922.890000,206.200000,860.120000,317.480000,820.770000,341.540000
924.350000,338.910000,924.910000,206.280000,860.110000,316.930000,820.150000,339.780000
924.760000,338.900000,927.070000,206.230000,860.130000,315.960000,819.800000,337.850000
924.830000,338.910000,929.190000,206.360000,860.190000,314.990000,819.140000,335.830000
924.960000,338.810000,931.190000,206.590000,860.210000,313.990000,818.800000,333.650000
925.050000,338.740000,933.000000,207.070000,860.250000,313.000000,818.190000,331.420000
925.180000,338.590000,935.240000,207.200000,860.180000,311.960000,817.910000,329.290000
925.320000,338.300000,937.280000,207.520000,860.230000,310.940000,817.490000,327.010000
925.690000,338.550000,939.180000,207.960000,860.160000,309.880000,817.060000,324.520000
926.310000,338.840000,941.220000,208.250000,860.072174,307.525198,816.790000,322.070000
926.590000,339.160000,943.220000,208.830000,860.000000,306.440000,816.290000,319.410000
926.880000,339.420000,945.310000,209.140000,860.080000,305.450000,815.990000,316.950000
927.020000,339.750000,947.320000,209.830000,860.140000,304.220000,815.850000,314.300000
927.230000,339.870000,949.310000,210.210000,860.210000,303.080000,815.830000,311.620000
927.570000,339.980000,951.370000,210.810000,860.290000,301.980000,815.850000,308.910000
927.930000,340.110000,953.490000,211.250000,860.430000,300.670000,815.730000,306.190000
928.080000,340.300000,955.820000,211.850000,861.060000,299.170000,815.780000,303.540000
928.500000,340.320000,957.860000,212.150000,861.850000,298.120000,815.810000,300.740000
928.860000,340.770000,959.840000,212.880000,862.640000,297.090000,816.000000,297.990000
929.020000,340.990000,961.850000,213.520000,862.690000,295.880000,816.220000,295.110000
