4841,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.0178,84.61831,80.88705,144.6183,151.2272,39.48581,151.6449,126.9966,106.1704,136.6621,156.336
0.0179,84.61459,80.88259,144.531,151.261,39.45931,151.6006,126.9741,106.0963,136.6641,156.3561
0.018,84.61088,80.87812,144.4437,151.2947,39.43301,151.5561,126.9516,106.0225,136.6661,156.3757
0.0181,84.60717,80.87362,144.3563,151.3284,39.40691,151.5116,126.9291,105.9489,136.668,156.3947
0.0182,84.60348,80.86912,144.2689,151.362,39.38101,151.4669,126.9066,105.8756,136.67,156.413
0.0183,84.59979,80.86459,144.1814,151.3955,39.35532,151.4222,126.8841,105.8026,136.6719,156.4308
0.0184,84.59611,80.86005,144.0939,151.429,39.32983,151.3773,126.8617,105.7298,136.6738,156.4479
0.0185,84.59245,80.8555,144.0063,151.4624,39.30455,151.3324,126.8393,105.6573,136.6756,156.4645
0.0186,84.58879,80.85093,143.9187,151.4957,39.27948,151.2873,126.8169,105.585,136.6775,156.4804
0.0187,84.58515,80.84635,143.831,151.5289,39.25461,151.2422,126.7945,105.513,136.6793,156.4958
0.0188,84.58152,80.84174,143.7433,151.5621,39.22994,151.197,126.7722,105.4413,136.6811,156.5106
0.0189,84.5779,80.83713,143.6556,151.5952,39.20548,151.1516,126.7498,105.3698,136.6829,156.5248
0.019,84.57429,80.8325,143.5678,151.6283,39.18123,151.1062,126.7275,105.2986,136.6846,156.5384
0.0191,84.57069,80.82785,143.48,151.6612,39.15719,151.0607,126.7052,105.2277,136.6864,156.5514
0.0192,84.56711,80.82319,143.3922,151.6942,39.13335,151.0151,126.683,105.157,136.6881,156.5639
0.0193,84.56354,80.81852,143.3043,151.727,39.10972,150.9694,126.6607,105.0866,136.6898,156.5757
0.0194,84.55998,80.81383,143.2163,151.7598,39.0863,150.9237,126.6385,105.0165,136.6914,156.587
0.0195,84.55644,80.80912,143.1284,151.7925,39.06309,150.8778,126.6163,104.9466,136.6931,156.5977
0.0196,84.55291,80.80441,143.0403,151.8252,39.04009,150.8319,126.5941,104.8771,136.6947,156.6078
0.0197,84.5494,80.79967,142.9523,151.8578,39.0173,150.7859,126.5719,104.8078,136.6963,156.6174
0.0198,84.5459,80.79493,142.8642,151.8903,38.99472,150.7399,126.5498,104.7387,136.6979,156.6264
0.0199,84.54242,80.79016,142.7761,151.9228,38.97234,150.6937,126.5277,104.67,136.6994,156.6348
0.02,84.53895,80.78539,142.6879,151.9553,38.95018,150.6475,126.5056,104.6015,136.701,156.6427
0.0201,84.5355,80.7806,142.5997,151.9877,38.92823,150.6012,126.4835,104.5333,136.7025,156.6499
0.0202,84.53206,80.7758,142.5115,152.02,38.90649,150.5548,126.4614,104.4654,136.704,156.6567
0.0203,84.52864,80.77098,142.4232,152.0522,38.88497,150.5084,126.4394,104.3978,136.7054,156.6629
0.0204,84.52524,80.76616,142.3349,152.0845,38.86365,150.4619,126.4174,104.3304,136.7069,156.6685
0.0205,84.52185,80.76131,142.2466,152.1166,38.84255,150.4154,126.3954,104.2633,136.7083,156.6735
0.0206,84.51849,80.75646,142.1582,152.1488,38.82167,150.3688,126.3735,104.1965,136.7097,156.6781
0.0207,84.51514,80.75159,142.0698,152.1808,38.80099,150.3221,126.3515,104.13,136.7111,156.682
