485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.186,85.15248,84.11732,126.4145,194.5371,159.3126,95.66828,104.6768,134.2303
0.187,85.1144,84.13136,126.7978,194.212,159.6698,94.72327,104.7685,134.0019
0.188,85.07605,84.14477,127.175,193.8805,159.9983,93.78029,104.8598,133.7705
0.189,85.03742,84.15745,127.5458,193.5423,160.2981,92.83941,104.9506,133.5364
0.19,84.9985,84.16931,127.9101,193.1972,160.5692,91.90066,105.0408,133.2997
0.191,84.9593,84.18028,128.2678,192.8451,160.8119,90.96412,105.1305,133.0606
0.192,84.91981,84.19029,128.6189,192.4858,161.0263,90.02985,105.2195,132.8192
0.193,84.88004,84.19925,128.9632,192.1192,161.2127,89.09794,105.308,132.5757
0.194,84.83999,84.20713,129.3009,191.7451,161.3715,88.16851,105.396,132.3302
0.195,84.79969,84.21386,129.6318,191.3634,161.503,87.24165,105.4835,132.0827
0.196,84.75913,84.2194,129.956,190.974,161.6078,86.31751,105.5706,131.8334
0.197,84.71835,84.22372,130.2738,190.5769,161.6863,85.39623,105.6574,131.5823
0.198,84.67735,84.22678,130.5851,190.1718,161.7393,84.47797,105.744,131.3294
0.199,84.63615,84.22858,130.8901,189.7589,161.7673,83.5629,105.8305,131.0748
0.2,84.59479,84.2291,131.1892,189.338,161.7711,82.65122,105.917,130.8184
0.201,84.55328,84.22833,131.4825,188.9092,161.7516,81.74313,106.0037,130.5604
0.202,84.51165,84.22629,131.7704,188.4723,161.7096,80.83886,106.0906,130.3008
0.203,84.46993,84.22299,132.0532,188.0275,161.6461,79.93864,106.178,130.0395
0.204,84.42815,84.21844,132.3313,187.5747,161.5622,79.04273,106.266,129.7766
0.205,84.38634,84.21267,132.6052,187.114,161.459,78.15138,106.3549,129.5121
0.206,84.34454,84.20574,132.8753,186.6454,161.3376,77.26488,106.4447,129.2461
0.207,84.30278,84.19767,133.1421,186.169,161.1993,76.3835,106.5357,128.9785
0.208,84.2611,84.18852,133.4061,185.6848,161.0453,75.50753,106.6282,128.7095
0.209,84.21954,84.17833,133.6681,185.1929,160.877,74.63729,106.7223,128.4392
0.21,84.17814,84.16719,133.9285,184.6934,160.6959,73.77308,106.8182,128.1674
0.211,84.13694,84.15513,134.1881,184.1864,160.5032,72.91521,106.916,127.8945
0.212,84.09598,84.14224,134.4475,183.672,160.3005,72.06401,107.016,127.6204
0.213,84.0553,84.12858,134.7073,183.1502,160.0892,71.2198,107.1182,127.3453
0.214,84.01494,84.11421,134.9684,182.6212,159.8709,70.3829,107.2226,127.0692
0.215,83.97495,84.0992,135.2313,182.085,159.6469,69.55366,107.3292,126.7923
0.216,83.93534,84.08363,135.4969,181.5418,159.4188,68.7324,107.4378,126.5148
0.217,83.89615,84.06753,135.7657,180.9916,159.1879,67.91944,107.5482,126.2367
0.218,83.85742,84.05098,136.0385,180.4346,158.9557,67.11512,107.6599,125.9582
0.219,83.81916,84.03403,136.316,179.8707,158.7234,66.31975,107.7725,125.6795
0.22,83.78139,84.01671,136.5988,179.3001,158.4923,65.53365,107.8853,125.4008
0.221,83.74412,83.99905,136.8874,178.7227,158.2636,64.75715,107.9974,125.1221
0.222,83.70736,83.9811,137.1824,178.1387,158.0382,63.99053,108.108,124.8438
0.223,83.6711,83.96285,137.4843,177.5481,157.8172,63.23412,108.2157,124.5659
0.224,83.63533,83.94431,137.7936,176.9508,157.6013,62.4882,108.3193,124.2887
0.225,83.60003,83.92547,138.1105,176.3469,157.3912,61.75306,108.4172,124.0124
0.226,83.56518,83.90631,138.4354,175.7363,157.1874,61.02897,108.5078,123.737
0.227,83.53072,83.8868,138.7685,175.1189,156.9901,60.31621,108.5891,123.4628
0.228,83.49661,83.86687,139.1099,174.4947,156.7997,59.61502,108.6592,123.1899
0.229,83.46279,83.84648,139.4595,173.8636,156.616,58.92565,108.716,122.9185
0.23,83.42918,83.82554,139.8174,173.2255,156.4389,58.24834,108.757,122.6487
0.231,83.3957,83.80396,140.1833,172.5801,156.268,57.58333,108.7801,122.3807
0.232,83.36226,83.78165,140.557,171.9274,156.1028,56.93082,108.7827,122.1145
0.233,83.32876,83.7585,140.938,171.2672,155.9427,56.29104,108.7624,121.8504
0.234,83.29509,83.73438,141.326,170.5992,155.7866,55.66417,108.7168,121.5883
0.235,83.26112,83.70916,141.7203,169.9233,155.6338,55.05042,108.6436,121.3285
0.236,83.22671,83.6827,142.1202,169.2392,155.4831,54.44995,108.5406,121.0709
0.237,83.19173,83.65485,142.5251,168.5466,155.3333,53.86296,108.4061,120.8155
0.238,83.156,83.62546,142.9341,167.8453,155.1833,53.2896,108.2386,120.5625
0.239,83.11936,83.59437,143.3463,167.135,155.0317,52.73005,108.0372,120.3119
0.24,83.08164,83.56144,143.7608,166.4155,154.8774,52.18446,107.8015,120.0636
0.241,83.04265,83.52653,144.1766,165.6864,154.719,51.65301,107.5316,119.8177
0.242,83.00221,83.48948,144.5927,164.9476,154.5554,51.13587,107.2283,119.5742
0.243,82.96013,83.45018,145.008,164.1988,154.3854,50.63322,106.8927,119.333
0.244,82.91621,83.40851,145.4215,163.4397,154.2078,50.14525,106.5261,119.0941
0.245,82.87027,83.3644,145.8323,162.6704,154.0217,49.67215,106.1305,118.8575
0.246,82.82212,83.31777,146.2392,161.8905,153.826,49.21415,105.7077,118.6231
0.247,82.77159,83.26859,146.6414,161.1001,153.6198,48.77146,105.2601,118.391
0.248,82.71852,83.21687,147.038,160.2992,153.4022,48.34435,104.7898,118.1611
0.249,82.66274,83.16263,147.4282,159.4878,153.1726,47.93309,104.2994,117.9334
0.25,82.60413,83.10595,147.8112,158.666,152.9301,47.53796,103.7912,117.7079
0.251,82.54256,83.04692,148.1866,157.8341,152.6743,47.15928,103.2678,117.4846
0.252,82.47794,82.98572,148.5538,156.9923,152.4047,46.7974,102.7315,117.2635
0.253,82.4102,82.92252,148.9126,156.1411,152.121,46.45268,102.1845,117.0446
0.254,82.3393,82.85756,149.2627,155.2809,151.8228,46.12551,101.6291,116.828
0.255,82.26524,82.79111,149.6041,154.4123,151.5102,45.81632,101.0672,116.6136
0.256,82.18803,82.72351,149.937,153.536,151.183,45.52554,100.5004,116.4016
0.257,82.10773,82.65508,150.2617,152.6528,150.8415,45.25364,99.93048,116.1919
0.258,82.02445,82.58623,150.5786,151.7634,150.4859,45.00106,99.35862,115.9845
0.259,81.93829,82.51734,150.8884,150.8689,150.1165,44.76829,98.786,115.7796
0.26,81.84943,82.44886,151.1918,149.9701,149.7339,44.5558,98.21359,115.5772
0.261,81.75805,82.38122,151.4896,149.0681,149.3387,44.36402,97.64222,115.3772
0.262,81.66439,82.31488,151.7831,148.1639,148.9317,44.19342,97.07257,115.1798
0.263,81.56869,82.25027,152.0732,147.2586,148.5137,44.04441,96.50523,114.9849
0.264,81.47126,82.18786,152.3614,146.3533,148.0859,43.91737,95.94074,114.7927
0.265,81.37242,82.12807,152.6489,145.4492,147.6496,43.81268,95.37955,114.6029
