 HAT_out.csv    
 
  raw, data,
 0.0440,     0.45,
 0.0450,     0.44,
 0.0460,     0.43,
 0.0470,     0.43,
 0.0480,     0.42,
 0.0490,     0.41,
 0.0500,     0.41,
 0.0510,     0.40,
 0.0520,     0.39,
 0.0530,     0.39,
 0.0540,     0.38,
 0.0550,     0.38,
 0.0560,     0.37,
 0.0570,     0.37,
 0.0580,     0.37,
 0.0590,     0.37,
 0.0600,     0.37,
 0.0610,     0.37,
 0.0620,     0.38,
 0.0630,     0.38,
 0.0640,     0.38,
 0.0650,     0.39,
 0.0660,     0.40,
 0.0670,     0.40,
 0.0680,     0.41,
 0.0690,     0.42,
 0.0700,     0.43,
 0.0710,     0.44,
 0.0720,     0.44,
 0.0730,     0.45,
 0.0740,     0.46,
 0.0750,     0.46,
 0.0760,     0.47,
 0.0770,     0.47,
 0.0780,     0.48,
 0.0790,     0.48,
 0.0800,     0.48,
 0.0810,     0.48,
 0.0820,     0.48,
 0.0830,     0.48,
 0.0840,     0.47,
 0.0850,     0.47,
 0.0860,     0.46,
 0.0870,     0.46,
 0.0880,     0.45,
 0.0890,     0.44,
 0.0900,     0.43,
 0.0910,     0.42,
 0.0920,     0.40,
 0.0930,     0.39,
 0.0940,     0.37,
 0.0950,     0.36,
 0.0960,     0.34,
 0.0970,     0.33,
 0.0980,     0.31,
 0.0990,     0.29,
 0.1000,     0.27,
 0.1010,     0.26,
 0.1020,     0.24,
 0.1030,     0.22,
 0.1040,     0.21,
 0.1050,     0.19,
 0.1060,     0.17,
 0.1070,     0.16,
 0.1080,     0.14,
 0.1090,     0.13,
 0.1100,     0.11,
 0.1110,     0.10,
 0.1120,     0.09,
 0.1130,     0.08,
 0.1140,     0.07,
 0.1150,     0.06,
 0.1160,     0.05,
 0.1170,     0.04,
 0.1180,     0.03,
 0.1190,     0.03,
 0.1200,     0.02,
 0.1210,     0.02,
 0.1220,     0.01,
 0.1230,     0.01,
 0.1240,     0.01,
 0.1250,     0.00,
 0.1260,     0.00,
 0.1270,     0.00,
 0.1280,     0.00,
 0.1290,     0.00,
 0.1300,     0.00,
 0.1310,     0.00,
 0.1320,     0.00,
 0.1330,     0.00,
 0.1340,     0.00,
 0.1350,     0.01,
 0.1360,     0.01,
 0.1370,     0.01,
 0.1380,     0.01,
 0.1390,     0.01,
 0.1400,     0.01,
 0.1410,     0.02,
 0.1420,     0.02,
 0.1430,     0.02,
 0.1440,     0.02,
 0.1450,     0.02,
 0.1460,     0.02,
 0.1470,     0.03,
 0.1480,     0.03,
 0.1490,     0.03,
 0.1500,     0.03,
 0.1510,     0.03,
 0.1520,     0.03,
 0.1530,     0.03,
 0.1540,     0.03,
 0.1550,     0.03,
 0.1560,     0.03,
 0.1570,     0.03,
 0.1580,     0.03,
 0.1590,     0.03,
 0.1600,     0.03,
 0.1610,     0.03,
 0.1620,     0.03,
 0.1630,     0.03,
 0.1640,     0.02,
 0.1650,     0.02,
 0.1660,     0.02,
 0.1670,     0.02,
 0.1680,     0.01,
 0.1690,     0.01,
 0.1700,     0.01,
 0.1710,     0.00,
 0.1720,    -0.00,
 0.1730,    -0.01,
 0.1740,    -0.01,
 0.1750,    -0.02,
 0.1760,    -0.02,
 0.1770,    -0.03,
 0.1780,    -0.03,
 0.1790,    -0.04,
 0.1800,    -0.04,
