 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  9.50000E-02   3.13457E+02   3.12404E+02   2.02485E+02   1.59432E+02   8.64901E+01   1.19048E+02   1.00953E+00   6.13223E-01
  9.60000E-02   2.77754E+02   2.99229E+02   2.03024E+02   1.59858E+02   8.65315E+01   1.20467E+02   1.01014E+00   6.04570E-01
  9.70000E-02   2.38652E+02   2.87267E+02   2.03538E+02   1.60249E+02   8.65681E+01   1.21861E+02   1.01074E+00   5.95815E-01
  9.80000E-02   1.98528E+02   2.73182E+02   2.04027E+02   1.60604E+02   8.66002E+01   1.23225E+02   1.01133E+00   5.86986E-01
  9.90000E-02   1.60116E+02   2.54616E+02   2.04491E+02   1.60922E+02   8.66278E+01   1.24553E+02   1.01191E+00   5.78104E-01
  1.00000E-01   1.26139E+02   2.30949E+02   2.04929E+02   1.61202E+02   8.66510E+01   1.25842E+02   1.01248E+00   5.69185E-01
  1.01000E-01   9.92862E+01   2.04801E+02   2.05342E+02   1.61441E+02   8.66700E+01   1.27087E+02   1.01305E+00   5.60241E-01
  1.02000E-01   6.75379E+01   1.65933E+02   2.05731E+02   1.61640E+02   8.66849E+01   1.28283E+02   1.01360E+00   5.51277E-01
  1.03000E-01   4.43541E+01   1.36284E+02   2.06094E+02   1.61797E+02   8.66959E+01   1.29427E+02   1.01415E+00   5.42293E-01
  1.04000E-01   6.46997E+01   1.28555E+02   2.06433E+02   1.61911E+02   8.67031E+01   1.30516E+02   1.01468E+00   5.33286E-01
  1.05000E-01   9.86231E+01   1.23315E+02   2.06748E+02   1.61982E+02   8.67068E+01   1.31546E+02   1.01521E+00   5.24247E-01
  1.06000E-01   1.34475E+02   1.17721E+02   2.07039E+02   1.62008E+02   8.67071E+01   1.32515E+02   1.01573E+00   5.15169E-01
  1.07000E-01   1.63293E+02   1.10885E+02   2.07306E+02   1.61990E+02   8.67042E+01   1.33421E+02   1.01624E+00   5.06037E-01
