 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  8.60000E-02   4.11208E+02   5.07832E+02   1.96564E+02   1.54365E+02   1.05330E+02  -6.47908E+01   1.02681E+00   6.36392E-01
  8.70000E-02   4.10125E+02   4.81960E+02   1.97310E+02   1.55013E+02   1.05307E+02  -7.06684E+01   1.02745E+00   6.29958E-01
  8.80000E-02   4.09674E+02   4.63424E+02   1.98036E+02   1.55645E+02   1.05288E+02  -7.64617E+01   1.02807E+00   6.23074E-01
  8.90000E-02   4.08571E+02   4.46491E+02   1.98740E+02   1.56259E+02   1.05273E+02  -8.21341E+01   1.02869E+00   6.15787E-01
  9.00000E-02   4.05268E+02   4.26897E+02   1.99423E+02   1.56852E+02   1.05260E+02  -8.76486E+01   1.02930E+00   6.08145E-01
  9.10000E-02   3.98280E+02   4.03279E+02   2.00083E+02   1.57422E+02   1.05249E+02  -9.29684E+01   1.02991E+00   6.00192E-01
  9.20000E-02   3.86298E+02   3.77128E+02   2.00720E+02   1.57968E+02   1.05240E+02  -9.80571E+01   1.03050E+00   5.91973E-01
  9.30000E-02   3.68349E+02   3.51556E+02   2.01333E+02   1.58486E+02   1.05233E+02  -1.02879E+02   1.03109E+00   5.83532E-01
  9.40000E-02   3.43990E+02   3.29536E+02   2.01921E+02   1.58974E+02   1.05227E+02  -1.07400E+02   1.03167E+00   5.74908E-01
  9.50000E-02   3.13457E+02   3.12404E+02   2.02485E+02   1.59432E+02   1.05221E+02  -1.11588E+02   1.03224E+00   5.66140E-01
  9.60000E-02   2.77754E+02   2.99229E+02   2.03024E+02   1.59858E+02   1.05216E+02  -1.15414E+02   1.03280E+00   5.57262E-01
  9.70000E-02   2.38652E+02   2.87267E+02   2.03538E+02   1.60249E+02   1.05211E+02  -1.18852E+02   1.03335E+00   5.48306E-01
  9.80000E-02   1.98528E+02   2.73182E+02   2.04027E+02   1.60604E+02   1.05205E+02  -1.21882E+02   1.03389E+00   5.39300E-01
  9.90000E-02   1.60116E+02   2.54616E+02   2.04491E+02   1.60922E+02   1.05198E+02  -1.24487E+02   1.03443E+00   5.30267E-01
  1.00000E-01   1.26139E+02   2.30949E+02   2.04929E+02   1.61202E+02   1.05190E+02  -1.26656E+02   1.03495E+00   5.21227E-01
  1.01000E-01   9.92862E+01   2.04801E+02   2.05342E+02   1.61441E+02   1.05180E+02  -1.28384E+02   1.03547E+00   5.12194E-01
  1.02000E-01   6.75379E+01   1.65933E+02   2.05731E+02   1.61640E+02   1.05169E+02  -1.29668E+02   1.03597E+00   5.03181E-01
  1.03000E-01   4.43541E+01   1.36284E+02   2.06094E+02   1.61797E+02   1.05156E+02  -1.30513E+02   1.03647E+00   4.94194E-01
  1.04000E-01   6.46997E+01   1.28555E+02   2.06433E+02   1.61911E+02   1.05142E+02  -1.30926E+02   1.03696E+00   4.85238E-01
  1.05000E-01   9.86231E+01   1.23315E+02   2.06748E+02   1.61982E+02   1.05125E+02  -1.30920E+02   1.03744E+00   4.76313E-01
  1.06000E-01   1.34475E+02   1.17721E+02   2.07039E+02   1.62008E+02   1.05107E+02  -1.30510E+02   1.03791E+00   4.67416E-01
  1.07000E-01   1.63293E+02   1.10885E+02   2.07306E+02   1.61990E+02   1.05087E+02  -1.29716E+02   1.03837E+00   4.58542E-01
  1.08000E-01   1.77615E+02   1.02465E+02   2.07550E+02   1.61928E+02   1.05065E+02  -1.28560E+02   1.03883E+00   4.49682E-01
  1.09000E-01   1.72540E+02   9.26948E+01   2.07772E+02   1.61820E+02   1.05042E+02  -1.27067E+02   1.03927E+00   4.40826E-01
  1.10000E-01   1.46910E+02   8.21147E+01   2.07970E+02   1.61668E+02   1.05017E+02  -1.25263E+02   1.03971E+00   4.31961E-01
  1.11000E-01   0.00000E+00   0.00000E+00   2.08147E+02   1.61470E+02   1.04991E+02  -1.23176E+02   1.04013E+00   4.23075E-01
  1.12000E-01   0.00000E+00   0.00000E+00   2.08303E+02   1.61229E+02   1.04964E+02  -1.20833E+02   1.04055E+00   4.14153E-01
  1.13000E-01   0.00000E+00   0.00000E+00   2.08437E+02   1.60943E+02   1.04935E+02  -1.18258E+02   1.04096E+00   4.05181E-01
  1.14000E-01   0.00000E+00   0.00000E+00   2.08551E+02   1.60614E+02   1.04906E+02  -1.15476E+02   1.04136E+00   3.96146E-01
