485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.136,86.85289,85.08782,106.2718,207.5319,114.0851,144.7243,104.3963,138.6809
0.137,86.83547,85.0231,106.5649,207.3243,115.2641,143.7853,104.3538,138.6122
0.138,86.81719,84.95935,106.8684,207.1101,116.4441,142.836,104.3099,138.5507
0.139,86.798,84.89674,107.1819,206.89,117.6243,141.8774,104.2645,138.4968
0.14,86.7779,84.83546,107.5051,206.6646,118.8038,140.9107,104.2176,138.4505
0.141,86.75684,84.77566,107.8376,206.4345,119.9816,139.9367,104.1692,138.4118
0.142,86.73484,84.71751,108.1788,206.2002,121.1568,138.9563,104.1193,138.3802
0.143,86.71188,84.66113,108.5284,205.9624,122.3285,137.9705,104.068,138.3554
0.144,86.68797,84.60668,108.886,205.7214,123.4958,136.98,104.0155,138.3367
0.145,86.66312,84.55428,109.2512,205.4778,124.6579,135.9855,103.9619,138.3234
0.146,86.63737,84.50404,109.6235,205.2321,125.8138,134.9877,103.9075,138.3147
0.147,86.61075,84.45607,110.0026,204.9846,126.9627,133.9873,103.8525,138.3096
0.148,86.58328,84.41046,110.388,204.7357,128.1039,132.9847,103.7972,138.3072
0.149,86.55503,84.36732,110.7794,204.4858,129.2365,131.9806,103.742,138.3065
0.15,86.52603,84.3267,111.1765,204.2351,130.3598,130.9753,103.6872,138.3065
0.151,86.49635,84.28868,111.5788,203.9839,131.4731,129.9694,103.6333,138.3062
0.152,86.46605,84.2533,111.9861,203.7325,132.5756,128.9632,103.5808,138.3045
0.153,86.43518,84.22062,112.398,203.481,133.6667,127.9571,103.5301,138.3004
0.154,86.40382,84.19066,112.8142,203.2297,134.7457,126.9513,103.4817,138.2932
0.155,86.37203,84.16345,113.2344,202.9786,135.812,125.9462,103.4363,138.2817
0.156,86.33989,84.13899,113.6583,202.7278,136.8649,124.942,103.3943,138.2654
0.157,86.30744,84.11728,114.0857,202.4774,137.9038,123.9389,103.3562,138.2433
0.158,86.27476,84.09831,114.5162,202.2274,138.9281,122.9371,103.3226,138.2149
0.159,86.2419,84.08204,114.9496,201.9778,139.9372,121.9367,103.2941,138.1795
0.16,86.20892,84.06844,115.3856,201.7286,140.9306,120.938,103.2709,138.1366
0.161,86.17586,84.05747,115.8239,201.4797,141.9076,119.941,103.2537,138.0858
0.162,86.14277,84.04905,116.2643,201.231,142.8675,118.9457,103.2427,138.0267
0.163,86.10968,84.04312,116.7064,200.9824,143.81,117.9524,103.2383,137.9589
0.164,86.07662,84.0396,117.1501,200.7338,144.7342,116.9611,103.2408,137.8824
0.165,86.04363,84.03841,117.5949,200.4849,145.6398,115.9717,103.2502,137.7969
0.166,86.01072,84.03943,118.0407,200.2356,146.5259,114.9844,103.2668,137.7024
0.167,85.97792,84.04258,118.487,199.9856,147.3921,113.9992,103.2906,137.5989
0.168,85.94522,84.04774,118.9336,199.7348,148.2378,113.0161,103.3214,137.4865
0.169,85.91265,84.05479,119.3802,199.483,149.0623,112.0351,103.3592,137.3652
